Source,Target,None
0,5,{}
0,6,{}
0,14,{}
0,15,{}
0,17,{}
0,32,{}
0,60,{}
0,112,{}
0,127,{}
0,170,{}
0,171,{}
0,199,{}
0,212,{}
0,321,{}
0,330,{}
0,431,{}
0,439,{}
0,462,{}
0,541,{}
0,594,{}
0,606,{}
0,628,{}
0,637,{}
0,655,{}
0,724,{}
0,1019,{}
0,1082,{}
0,1149,{}
0,1371,{}
0,1404,{}
0,1433,{}
0,1464,{}
0,1466,{}
0,1512,{}
0,1591,{}
0,1735,{}
0,1887,{}
0,1953,{}
0,2024,{}
0,2134,{}
0,2511,{}
0,2823,{}
0,3204,{}
0,3298,{}
0,3314,{}
0,3435,{}
0,3558,{}
0,3937,{}
0,3994,{}
0,4266,{}
0,4294,{}
0,5060,{}
0,5238,{}
0,5382,{}
0,5530,{}
0,5547,{}
0,5577,{}
0,5603,{}
0,5838,{}
0,5903,{}
0,5950,{}
0,6185,{}
0,6208,{}
0,6259,{}
0,6571,{}
0,6626,{}
0,6736,{}
0,6836,{}
0,6867,{}
0,6919,{}
0,8042,{}
0,8236,{}
0,8461,{}
0,9310,{}
0,9357,{}
0,9468,{}
0,9478,{}
0,9678,{}
0,10392,{}
0,10413,{}
0,10503,{}
0,10993,{}
0,11183,{}
0,12001,{}
0,12012,{}
0,12289,{}
0,12626,{}
0,12627,{}
0,12723,{}
0,12901,{}
0,13263,{}
0,13391,{}
0,13622,{}
0,13834,{}
0,14431,{}
0,15853,{}
0,15898,{}
0,15934,{}
0,15939,{}
0,16254,{}
0,18174,{}
0,18209,{}
0,18666,{}
0,19001,{}
0,19021,{}
0,19175,{}
0,19359,{}
0,20085,{}
0,20524,{}
0,20845,{}
0,21008,{}
0,21344,{}
0,21691,{}
0,21717,{}
0,21766,{}
0,21780,{}
0,21790,{}
0,22289,{}
0,23125,{}
0,23226,{}
0,23299,{}
0,24036,{}
0,24051,{}
0,24151,{}
0,24272,{}
0,24297,{}
0,24434,{}
0,24795,{}
0,24963,{}
0,27335,{}
0,28879,{}
0,29433,{}
0,29958,{}
0,30023,{}
0,30152,{}
0,30957,{}
0,31308,{}
0,31708,{}
0,32023,{}
0,32185,{}
0,32601,{}
0,32902,{}
0,33073,{}
0,33229,{}
0,33598,{}
0,34278,{}
0,34377,{}
0,36192,{}
0,36206,{}
0,37055,{}
0,37961,{}
0,39289,{}
0,39452,{}
0,39811,{}
0,40808,{}
0,41491,{}
0,42103,{}
0,43201,{}
0,43400,{}
0,43832,{}
0,43895,{}
0,45478,{}
0,45782,{}
0,45826,{}
0,46086,{}
0,47069,{}
0,47312,{}
0,47796,{}
0,48072,{}
0,48177,{}
0,48920,{}
0,48929,{}
0,49565,{}
1,5,{}
1,6,{}
1,9,{}
1,10,{}
1,12,{}
1,14,{}
1,17,{}
1,26,{}
1,35,{}
1,60,{}
1,71,{}
1,106,{}
1,120,{}
1,141,{}
1,169,{}
1,181,{}
1,269,{}
1,279,{}
1,344,{}
1,374,{}
1,474,{}
1,557,{}
1,567,{}
1,581,{}
1,632,{}
1,635,{}
1,663,{}
1,676,{}
1,744,{}
1,818,{}
